task,model,threshold,value,unit,hours,difficulty
blunders_easy,gpt-5.2:medium,25%,3,hours,3,very_hard
blunders_easy,gpt-5.2:medium,50%,10,hours,10,very_hard
blunders_easy,gpt-5.2:medium,70%,5,days,40,very_hard
blunders_easy,gpt-5.2:medium,90%,4,weeks,160,very_hard
blunders_easy,gpt-5.2:medium,95%,12,weeks,480,very_hard
blunders_easy,gemini-3-pro-preview,25%,3,hours,3,medium
blunders_easy,gemini-3-pro-preview,50%,8,hours,8,medium
blunders_easy,gemini-3-pro-preview,70%,16,hours,16,medium
blunders_easy,gemini-3-pro-preview,90%,40,hours,40,medium
blunders_easy,gemini-3-pro-preview,95%,80,hours,80,medium
blunders_easy,claude-opus-4.5,25%,2,hours,2,hard
blunders_easy,claude-opus-4.5,50%,6,hours,6,hard
blunders_easy,claude-opus-4.5,70%,12,hours,12,hard
blunders_easy,claude-opus-4.5,90%,25,hours,25,hard
blunders_easy,claude-opus-4.5,95%,50,hours,50,hard
blunders_easy,grok-4-07-09,25%,4,hours,4,very_hard
blunders_easy,grok-4-07-09,50%,12,hours,12,very_hard
blunders_easy,grok-4-07-09,70%,40,hours,40,very_hard
blunders_easy,grok-4-07-09,90%,120,hours,120,very_hard
blunders_easy,grok-4-07-09,95%,200,hours,200,very_hard
blunders_hard,gpt-5.2:medium,25%,6,hours,6,very_hard
blunders_hard,gpt-5.2:medium,50%,3,days,24,very_hard
blunders_hard,gpt-5.2:medium,70%,10,days,80,very_hard
blunders_hard,gpt-5.2:medium,90%,6,weeks,240,very_hard
blunders_hard,gpt-5.2:medium,95%,12,weeks,480,very_hard
blunders_hard,gemini-3-pro-preview,25%,1,hour,1,Hard
blunders_hard,gemini-3-pro-preview,50%,4,hours,4,Hard
blunders_hard,gemini-3-pro-preview,70%,12,hours,12,Hard
blunders_hard,gemini-3-pro-preview,90%,24,hours,24,Hard
blunders_hard,gemini-3-pro-preview,95%,40,hours,40,Hard
blunders_hard,claude-opus-4.5,25%,2,hours,2,hard
blunders_hard,claude-opus-4.5,50%,6,hours,6,hard
blunders_hard,claude-opus-4.5,70%,16,hours,16,hard
blunders_hard,claude-opus-4.5,90%,4,days,32,hard
blunders_hard,claude-opus-4.5,95%,6,days,48,hard
blunders_hard,grok-4-07-09,25%,6,hours,6,very_hard
blunders_hard,grok-4-07-09,50%,2,days,16,very_hard
blunders_hard,grok-4-07-09,70%,1,week,40,very_hard
blunders_hard,grok-4-07-09,90%,3,weeks,120,very_hard
blunders_hard,grok-4-07-09,95%,2,months,320,very_hard
chess_winners,gpt-5.2:medium,25%,30,minutes,0.5,very_hard
chess_winners,gpt-5.2:medium,50%,4,hours,4,very_hard
chess_winners,gpt-5.2:medium,70%,2,days,16,very_hard
chess_winners,gpt-5.2:medium,90%,3,weeks,120,very_hard
chess_winners,gpt-5.2:medium,95%,12,months,1920,very_hard
chess_winners,gemini-3-pro-preview,25%,30,minutes,0.5,hard
chess_winners,gemini-3-pro-preview,50%,2,hours,2,hard
chess_winners,gemini-3-pro-preview,70%,8,hours,8,hard
chess_winners,gemini-3-pro-preview,90%,32,hours,32,hard
chess_winners,gemini-3-pro-preview,95%,120,hours,120,hard
chess_winners,claude-opus-4.5,25%,30,minutes,0.5,hard
chess_winners,claude-opus-4.5,50%,3,hours,3,hard
chess_winners,claude-opus-4.5,70%,8,hours,8,hard
chess_winners,claude-opus-4.5,90%,40,hours,40,hard
chess_winners,claude-opus-4.5,95%,200,hours,200,hard
chess_winners,grok-4-07-09,25%,2,hours,2,hard
chess_winners,grok-4-07-09,50%,8,hours,8,hard
chess_winners,grok-4-07-09,70%,2,days,16,hard
chess_winners,grok-4-07-09,90%,3,weeks,120,hard
chess_winners,grok-4-07-09,95%,2,months,320,hard
classify_sentences,gpt-5.2:medium,25%,4,hours,4,very_hard
classify_sentences,gpt-5.2:medium,50%,2,days,16,very_hard
classify_sentences,gpt-5.2:medium,70%,2,weeks,80,very_hard
classify_sentences,gpt-5.2:medium,90%,3,months,480,very_hard
classify_sentences,gpt-5.2:medium,95%,1,year,2080,very_hard
classify_sentences,gemini-3-pro-preview,25%,1,hour,1,very_hard
classify_sentences,gemini-3-pro-preview,50%,6,hours,6,very_hard
classify_sentences,gemini-3-pro-preview,70%,3,days,24,very_hard
classify_sentences,gemini-3-pro-preview,90%,3,weeks,120,very_hard
classify_sentences,gemini-3-pro-preview,95%,1000,hours,1000,very_hard
classify_sentences,claude-opus-4.5,25%,45,minutes,0.75,hard
classify_sentences,claude-opus-4.5,50%,2.5,hours,2.5,hard
classify_sentences,claude-opus-4.5,70%,6,hours,6,hard
classify_sentences,claude-opus-4.5,90%,25,hours,25,hard
classify_sentences,claude-opus-4.5,95%,50,hours,50,hard
classify_sentences,grok-4-07-09,25%,4,hours,4,hard
classify_sentences,grok-4-07-09,50%,2,days,16,hard
classify_sentences,grok-4-07-09,70%,2,weeks,80,hard
classify_sentences,grok-4-07-09,90%,3,months,480,hard
classify_sentences,grok-4-07-09,95%,6,months,960,hard
classify_shuffled,gpt-5.2:medium,25%,2,hours,2,hard
classify_shuffled,gpt-5.2:medium,50%,10,hours,10,hard
classify_shuffled,gpt-5.2:medium,70%,3,days,24,hard
classify_shuffled,gpt-5.2:medium,90%,6,weeks,240,hard
classify_shuffled,gpt-5.2:medium,95%,6,months,960,hard
classify_shuffled,gemini-3-pro-preview,25%,2,hours,2,Hard
classify_shuffled,gemini-3-pro-preview,50%,6,hours,6,Hard
classify_shuffled,gemini-3-pro-preview,70%,16,hours,16,Hard
classify_shuffled,gemini-3-pro-preview,90%,80,hours,80,Hard
classify_shuffled,gemini-3-pro-preview,95%,1000,hours (effectively impossible),1000,Hard
classify_shuffled,claude-opus-4.5,25%,45,minutes,0.75,medium
classify_shuffled,claude-opus-4.5,50%,2,hours,2,medium
classify_shuffled,claude-opus-4.5,70%,4,hours,4,medium
classify_shuffled,claude-opus-4.5,90%,12,hours,12,medium
classify_shuffled,claude-opus-4.5,95%,40,hours,40,medium
classify_shuffled,grok-4-07-09,25%,4,hours,4,hard
classify_shuffled,grok-4-07-09,50%,2,days,16,hard
classify_shuffled,grok-4-07-09,70%,5,days,40,hard
classify_shuffled,grok-4-07-09,90%,10,days,80,hard
classify_shuffled,grok-4-07-09,95%,30,days,240,hard
digits_generalize,gpt-5.2:medium,25%,4,hours,4,very_hard
digits_generalize,gpt-5.2:medium,50%,3,days,24,very_hard
digits_generalize,gpt-5.2:medium,70%,3,weeks,120,very_hard
digits_generalize,gpt-5.2:medium,90%,6,months,960,very_hard
digits_generalize,gpt-5.2:medium,95%,2,years,4160,very_hard
digits_generalize,gemini-3-pro-preview,25%,2,hours,2,very_hard
digits_generalize,gemini-3-pro-preview,50%,16,hours,16,very_hard
digits_generalize,gemini-3-pro-preview,70%,60,hours,60,very_hard
digits_generalize,gemini-3-pro-preview,90%,1000,hours (effectively impossible),1000,very_hard
digits_generalize,gemini-3-pro-preview,95%,0,impossible,0,very_hard
digits_generalize,claude-opus-4.5,25%,2,hours,2,hard
digits_generalize,claude-opus-4.5,50%,6,hours,6,hard
digits_generalize,claude-opus-4.5,70%,20,hours,20,hard
digits_generalize,claude-opus-4.5,90%,100,hours,100,hard
digits_generalize,claude-opus-4.5,95%,500,hours,500,hard
digits_generalize,grok-4-07-09,25%,4.0,hours,4.0,unknown
digits_generalize,grok-4-07-09,50%,2.0,days,16.0,unknown
digits_generalize,grok-4-07-09,70%,3.0,weeks,120.0,unknown
digits_generalize,grok-4-07-09,90%,2.0,months,320.0,unknown
digits_generalize,grok-4-07-09,95%,6.0,months,960.0,unknown
digits_unsup,gpt-5.2:medium,25%,4,hours,4,very_hard
digits_unsup,gpt-5.2:medium,50%,2,days,16,very_hard
digits_unsup,gpt-5.2:medium,70%,5,days,40,very_hard
digits_unsup,gpt-5.2:medium,90%,3,weeks,120,very_hard
digits_unsup,gpt-5.2:medium,95%,8,weeks,320,very_hard
digits_unsup,gemini-3-pro-preview,25%,1,hour,1,medium
digits_unsup,gemini-3-pro-preview,50%,2,hours,2,medium
digits_unsup,gemini-3-pro-preview,70%,4,hours,4,medium
digits_unsup,gemini-3-pro-preview,90%,7,hours,7,medium
digits_unsup,gemini-3-pro-preview,95%,10,hours,10,medium
digits_unsup,claude-opus-4.5,25%,1.5,hours,1.5,hard
digits_unsup,claude-opus-4.5,50%,4,hours,4,hard
digits_unsup,claude-opus-4.5,70%,8,hours,8,hard
digits_unsup,claude-opus-4.5,90%,16,hours,16,hard
digits_unsup,claude-opus-4.5,95%,30,hours,30,hard
digits_unsup,grok-4-07-09,25%,6,hours,6,hard
digits_unsup,grok-4-07-09,50%,2,days,16,hard
digits_unsup,grok-4-07-09,70%,5,days,40,hard
digits_unsup,grok-4-07-09,90%,10,days,80,hard
digits_unsup,grok-4-07-09,95%,3,weeks,120,hard
insert_patches,gpt-5.2:medium,25%,8,hours,8,very_hard
insert_patches,gpt-5.2:medium,50%,4,days,32,very_hard
insert_patches,gpt-5.2:medium,70%,2,weeks,80,very_hard
insert_patches,gpt-5.2:medium,90%,8,weeks,320,very_hard
insert_patches,gpt-5.2:medium,95%,6,months,960,very_hard
insert_patches,gemini-3-pro-preview,25%,4,hours,4,hard
insert_patches,gemini-3-pro-preview,50%,7,hours,7,hard
insert_patches,gemini-3-pro-preview,70%,9,hours,9,hard
insert_patches,gemini-3-pro-preview,90%,20,hours,20,hard
insert_patches,gemini-3-pro-preview,95%,32,hours,32,hard
insert_patches,claude-opus-4.5,25%,2,hours,2,medium
insert_patches,claude-opus-4.5,50%,4,hours,4,medium
insert_patches,claude-opus-4.5,70%,8,hours,8,medium
insert_patches,claude-opus-4.5,90%,20,hours,20,medium
insert_patches,claude-opus-4.5,95%,40,hours,40,medium
insert_patches,grok-4-07-09,25%,8.0,hours,8.0,unknown
insert_patches,grok-4-07-09,50%,3.0,days,24.0,unknown
insert_patches,grok-4-07-09,70%,2.0,weeks,80.0,unknown
insert_patches,grok-4-07-09,90%,1.0,month,160.0,unknown
insert_patches,grok-4-07-09,95%,3.0,months,480.0,unknown
kolmo_shuffle,gpt-5.2:medium,25%,6,hours,6,very_hard
kolmo_shuffle,gpt-5.2:medium,50%,2,days,16,very_hard
kolmo_shuffle,gpt-5.2:medium,70%,6,days,48,very_hard
kolmo_shuffle,gpt-5.2:medium,90%,4,weeks,160,very_hard
kolmo_shuffle,gpt-5.2:medium,95%,4,months,640,very_hard
kolmo_shuffle,gemini-3-pro-preview,25%,45,minutes,0.75,hard
kolmo_shuffle,gemini-3-pro-preview,50%,5,hours,5,hard
kolmo_shuffle,gemini-3-pro-preview,70%,16,hours,16,hard
kolmo_shuffle,gemini-3-pro-preview,90%,1000,hours (effectively impossible),1000,hard
kolmo_shuffle,gemini-3-pro-preview,95%,1000,hours (impossible),1000,hard
kolmo_shuffle,claude-opus-4.5,25%,45,minutes,0.75,hard
kolmo_shuffle,claude-opus-4.5,50%,2,hours,2,hard
kolmo_shuffle,claude-opus-4.5,70%,5,hours,5,hard
kolmo_shuffle,claude-opus-4.5,90%,20,hours,20,hard
kolmo_shuffle,claude-opus-4.5,95%,60,hours,60,hard
kolmo_shuffle,grok-4-07-09,25%,4,hours,4,hard
kolmo_shuffle,grok-4-07-09,50%,1.5,days,12.0,hard
kolmo_shuffle,grok-4-07-09,70%,5,days,40,hard
kolmo_shuffle,grok-4-07-09,90%,4,weeks,160,hard
kolmo_shuffle,grok-4-07-09,95%,3,months,480,hard
number_patterns,gpt-5.2:medium,25%,1.0,hour,1.0,hard
number_patterns,gpt-5.2:medium,50%,6,hours,6,hard
number_patterns,gpt-5.2:medium,70%,2,days,16,hard
number_patterns,gpt-5.2:medium,90%,5,days,40,hard
number_patterns,gpt-5.2:medium,95%,10,days,80,hard
number_patterns,gemini-3-pro-preview,25%,1,hour,1,hard
number_patterns,gemini-3-pro-preview,50%,4,hours,4,hard
number_patterns,gemini-3-pro-preview,70%,12,hours,12,hard
number_patterns,gemini-3-pro-preview,90%,24,hours,24,hard
number_patterns,gemini-3-pro-preview,95%,48,hours,48,hard
number_patterns,claude-opus-4.5,25%,1.5,hours,1.5,hard
number_patterns,claude-opus-4.5,50%,4,hours,4,hard
number_patterns,claude-opus-4.5,70%,8,hours,8,hard
number_patterns,claude-opus-4.5,90%,16,hours,16,hard
number_patterns,claude-opus-4.5,95%,30,hours,30,hard
number_patterns,grok-4-07-09,25%,4.0,hours,4.0,unknown
number_patterns,grok-4-07-09,50%,1.5,days,12.0,unknown
number_patterns,grok-4-07-09,70%,4.0,days,32.0,unknown
number_patterns,grok-4-07-09,90%,7.0,days,56.0,unknown
number_patterns,grok-4-07-09,95%,14.0,days,112.0,unknown
shapes_easy,gpt-5.2:medium,25%,0.5,hours,0.5,hard
shapes_easy,gpt-5.2:medium,50%,4,hours,4,hard
shapes_easy,gpt-5.2:medium,70%,12,hours,12,hard
shapes_easy,gpt-5.2:medium,90%,4,days,32,hard
shapes_easy,gpt-5.2:medium,95%,10,days,80,hard
shapes_easy,gemini-3-pro-preview,25%,1,hour,1,medium
shapes_easy,gemini-3-pro-preview,50%,3,hours,3,medium
shapes_easy,gemini-3-pro-preview,70%,6,hours,6,medium
shapes_easy,gemini-3-pro-preview,90%,10,hours,10,medium
shapes_easy,gemini-3-pro-preview,95%,16,hours,16,medium
shapes_easy,claude-opus-4.5,25%,20,minutes,0.3333333333333333,medium
shapes_easy,claude-opus-4.5,50%,2,hours,2,medium
shapes_easy,claude-opus-4.5,70%,4,hours,4,medium
shapes_easy,claude-opus-4.5,90%,8,hours,8,medium
shapes_easy,claude-opus-4.5,95%,16,hours,16,medium
shapes_easy,grok-4-07-09,25%,2,hours,2,hard
shapes_easy,grok-4-07-09,50%,8,hours,8,hard
shapes_easy,grok-4-07-09,70%,2,days,16,hard
shapes_easy,grok-4-07-09,90%,5,days,40,hard
shapes_easy,grok-4-07-09,95%,10,days,80,hard
shapes_hard,gpt-5.2:medium,25%,3,hours,3,very_hard
shapes_hard,gpt-5.2:medium,50%,1.5,days,12.0,very_hard
shapes_hard,gpt-5.2:medium,70%,4,days,32,very_hard
shapes_hard,gpt-5.2:medium,90%,2,weeks,80,very_hard
shapes_hard,gpt-5.2:medium,95%,8,weeks,320,very_hard
shapes_hard,gemini-3-pro-preview,25%,2,hours,2,medium
shapes_hard,gemini-3-pro-preview,50%,6,hours,6,medium
shapes_hard,gemini-3-pro-preview,70%,16,hours,16,medium
shapes_hard,gemini-3-pro-preview,90%,40,hours,40,medium
shapes_hard,gemini-3-pro-preview,95%,120,hours,120,medium
shapes_hard,claude-opus-4.5,25%,30,minutes,0.5,medium
shapes_hard,claude-opus-4.5,50%,3,hours,3,medium
shapes_hard,claude-opus-4.5,70%,8,hours,8,medium
shapes_hard,claude-opus-4.5,90%,20,hours,20,medium
shapes_hard,claude-opus-4.5,95%,50,hours,50,medium
shapes_hard,grok-4-07-09,25%,4.0,hours,4.0,unknown
shapes_hard,grok-4-07-09,50%,2.0,days,16.0,unknown
shapes_hard,grok-4-07-09,70%,5.0,days,40.0,unknown
shapes_hard,grok-4-07-09,90%,2.0,weeks,80.0,unknown
shapes_hard,grok-4-07-09,95%,4.0,weeks,160.0,unknown
shapes_variable,gpt-5.2:medium,25%,2,hours,2,hard
shapes_variable,gpt-5.2:medium,50%,10,hours,10,hard
shapes_variable,gpt-5.2:medium,70%,3,days,24,hard
shapes_variable,gpt-5.2:medium,90%,5,weeks,200,hard
shapes_variable,gpt-5.2:medium,95%,5,months,800,hard
shapes_variable,gemini-3-pro-preview,25%,2,hours,2,High
shapes_variable,gemini-3-pro-preview,50%,8,hours,8,High
shapes_variable,gemini-3-pro-preview,70%,24,hours,24,High
shapes_variable,gemini-3-pro-preview,90%,120,hours,120,High
shapes_variable,gemini-3-pro-preview,95%,300,hours,300,High
shapes_variable,claude-opus-4.5,25%,1.5,hours,1.5,medium
shapes_variable,claude-opus-4.5,50%,4,hours,4,medium
shapes_variable,claude-opus-4.5,70%,8,hours,8,medium
shapes_variable,claude-opus-4.5,90%,30,hours,30,medium
shapes_variable,claude-opus-4.5,95%,80,hours,80,medium
shapes_variable,grok-4-07-09,25%,4,hours,4,hard
shapes_variable,grok-4-07-09,50%,2,days,16,hard
shapes_variable,grok-4-07-09,70%,1,week,40,hard
shapes_variable,grok-4-07-09,90%,4,weeks,160,hard
shapes_variable,grok-4-07-09,95%,3,months,480,hard
splash_easy,gpt-5.2:medium,25%,2,hours,2,hard
splash_easy,gpt-5.2:medium,50%,1.5,days,12.0,hard
splash_easy,gpt-5.2:medium,70%,3,days,24,hard
splash_easy,gpt-5.2:medium,90%,6,days,48,hard
splash_easy,gpt-5.2:medium,95%,2,weeks,80,hard
splash_easy,gemini-3-pro-preview,25%,2,hours,2,medium
splash_easy,gemini-3-pro-preview,50%,6,hours,6,medium
splash_easy,gemini-3-pro-preview,70%,10,hours,10,medium
splash_easy,gemini-3-pro-preview,90%,24,hours,24,medium
splash_easy,gemini-3-pro-preview,95%,48,hours,48,medium
splash_easy,claude-opus-4.5,25%,1.5,hours,1.5,hard
splash_easy,claude-opus-4.5,50%,4,hours,4,hard
splash_easy,claude-opus-4.5,70%,8,hours,8,hard
splash_easy,claude-opus-4.5,90%,16,hours,16,hard
splash_easy,claude-opus-4.5,95%,30,hours,30,hard
splash_easy,grok-4-07-09,25%,4.0,hours,4.0,unknown
splash_easy,grok-4-07-09,50%,1.5,days,12.0,unknown
splash_easy,grok-4-07-09,70%,5.0,days,40.0,unknown
splash_easy,grok-4-07-09,90%,2.0,weeks,80.0,unknown
splash_easy,grok-4-07-09,95%,4.0,weeks,160.0,unknown
splash_hard,gpt-5.2:medium,25%,6,hours,6,very_hard
splash_hard,gpt-5.2:medium,50%,2,days,16,very_hard
splash_hard,gpt-5.2:medium,70%,7,days,56,very_hard
splash_hard,gpt-5.2:medium,90%,3,weeks,120,very_hard
splash_hard,gpt-5.2:medium,95%,8,weeks,320,very_hard
splash_hard,gemini-3-pro-preview,25%,3,hours,3,hard
splash_hard,gemini-3-pro-preview,50%,8,hours,8,hard
splash_hard,gemini-3-pro-preview,70%,24,hours,24,hard
splash_hard,gemini-3-pro-preview,90%,60,hours,60,hard
splash_hard,gemini-3-pro-preview,95%,120,hours,120,hard
splash_hard,claude-opus-4.5,25%,2,hours,2,hard
splash_hard,claude-opus-4.5,50%,6,hours,6,hard
splash_hard,claude-opus-4.5,70%,12,hours,12,hard
splash_hard,claude-opus-4.5,90%,24,hours,24,hard
splash_hard,claude-opus-4.5,95%,40,hours,40,hard
splash_hard,grok-4-07-09,25%,4,hours,4,hard
splash_hard,grok-4-07-09,50%,12,hours,12,hard
splash_hard,grok-4-07-09,70%,2,days,16,hard
splash_hard,grok-4-07-09,90%,1,week,40,hard
splash_hard,grok-4-07-09,95%,3,weeks,120,hard
xor_easy,gpt-5.2:medium,25%,8,hours,8,hard
xor_easy,gpt-5.2:medium,50%,2,days,16,hard
xor_easy,gpt-5.2:medium,70%,5,days,40,hard
xor_easy,gpt-5.2:medium,90%,12,days,96,hard
xor_easy,gpt-5.2:medium,95%,24,days,192,hard
xor_easy,gemini-3-pro-preview,25%,3,hours,3,hard
xor_easy,gemini-3-pro-preview,50%,8,hours,8,hard
xor_easy,gemini-3-pro-preview,70%,16,hours,16,hard
xor_easy,gemini-3-pro-preview,90%,32,hours,32,hard
xor_easy,gemini-3-pro-preview,95%,64,hours,64,hard
xor_easy,claude-opus-4.5,25%,4,hours,4,hard
xor_easy,claude-opus-4.5,50%,8,hours,8,hard
xor_easy,claude-opus-4.5,70%,15,hours,15,hard
xor_easy,claude-opus-4.5,90%,3,days,24,hard
xor_easy,claude-opus-4.5,95%,5,days,40,hard
xor_easy,grok-4-07-09,25%,4,hours,4,hard
xor_easy,grok-4-07-09,50%,1.5,days,12.0,hard
xor_easy,grok-4-07-09,70%,4,days,32,hard
xor_easy,grok-4-07-09,90%,8,days,64,hard
xor_easy,grok-4-07-09,95%,12,days,96,hard
xor_hard,gpt-5.2:medium,25%,6,hours,6,very_hard
xor_hard,gpt-5.2:medium,50%,2,days,16,very_hard
xor_hard,gpt-5.2:medium,70%,5,days,40,very_hard
xor_hard,gpt-5.2:medium,90%,12,days,96,very_hard
xor_hard,gpt-5.2:medium,95%,4,weeks,160,very_hard
xor_hard,gemini-3-pro-preview,25%,4,hours,4,very_hard
xor_hard,gemini-3-pro-preview,50%,12,hours,12,very_hard
xor_hard,gemini-3-pro-preview,70%,3,days,24,very_hard
xor_hard,gemini-3-pro-preview,90%,5,days,40,very_hard
xor_hard,gemini-3-pro-preview,95%,8,days,64,very_hard
xor_hard,claude-opus-4.5,25%,3,hours,3,hard
xor_hard,claude-opus-4.5,50%,8,hours,8,hard
xor_hard,claude-opus-4.5,70%,14,hours,14,hard
xor_hard,claude-opus-4.5,90%,20,hours,20,hard
xor_hard,claude-opus-4.5,95%,35,hours,35,hard
xor_hard,grok-4-07-09,25%,4.0,hours,4.0,unknown
xor_hard,grok-4-07-09,50%,2.0,days,16.0,unknown
xor_hard,grok-4-07-09,70%,5.0,days,40.0,unknown
xor_hard,grok-4-07-09,90%,2.0,weeks,80.0,unknown
xor_hard,grok-4-07-09,95%,1.0,month,160.0,unknown
